marker,pvalue
Neutrophil_pPLCg1_Unstim,0.320577483438795
Neutrophil_pPLCg1_LPS,0.696747810580789
Neutrophil_pPLCg1_IL246,0.918815982187917
Neutrophil_pPLCg1_IL18,0.995216228130815
Neutrophil_CXCR4_Unstim,0.83378773741967
Neutrophil_CXCR4_LPS,0.526383955400716
Neutrophil_CXCR4_IL246,0.207281628656925
Neutrophil_CXCR4_IL18,0.931516496462828
Neutrophil_CD62L_Unstim,0.189170326219756
Neutrophil_CD62L_LPS,0.210176080610811
Neutrophil_CD62L_IL246,0.513420502681914
Neutrophil_CD62L_IL18,0.12432432128405
Neutrophil_HK2_Unstim,0.909303992067766
Neutrophil_HK2_LPS,0.515999831238447
Neutrophil_HK2_IL246,0.890320310937095
Neutrophil_HK2_IL18,0.418281276859517
Neutrophil_CD63_Unstim,0.528996566896434
Neutrophil_CD63_LPS,0.741582624034379
Neutrophil_CD63_IL246,0.0730231710815322
Neutrophil_CD63_IL18,0.944234472673077
Bcells_VDAC1_Unstim,0.558164016835014
Bcells_VDAC1_LPS,0.292236547075381
Bcells_VDAC1_IL246,0.253801909716629
Bcells_VDAC1_IL18,0.190520669931249
Bcells_GLUT1_Unstim,0.258825180177933
Bcells_GLUT1_LPS,0.661618883749257
Bcells_GLUT1_IL246,0.9665232243378
Bcells_GLUT1_IL18,0.747631393361605
Bcells_CPT1a_Unstim,0.0967571292332035
Bcells_CPT1a_LPS,0.400133287460087
Bcells_CPT1a_IL246,0.257143158023081
Bcells_CPT1a_IL18,0.588092045381718
Bcells_pCREB_Unstim,0.0975628558269507
Bcells_pCREB_LPS,0.753695741443526
Bcells_pCREB_IL246,0.732539435244884
Bcells_pCREB_IL18,0.400133287460087
Bcells_pSTAT5_Unstim,0.574367804081359
Bcells_pSTAT5_IL246,0.693793843454408
Bcells_pP38_Unstim,0.102672869153734
Bcells_pP38_LPS,0.421732527411613
Bcells_pP38_IL18,0.331521861002662
Bcells_pSTAT1_Unstim,1
Bcells_pSTAT3_Unstim,0.170561284615243
Bcells_pSTAT3_IL246,0.22052754690881
Bcells_prpS6_Unstim,0.413699423022851
Bcells_prpS6_LPS,0.242346044876876
Bcells_prpS6_IL246,0.197378952696815
Bcells_prpS6_IL18,0.30149039734827
Bcells_PD-L1_Unstim,0.19187809758831
Bcells_PD-L1_LPS,0.899804986267321
Bcells_PD-L1_IL246,0.963337107236902
Bcells_PD-L1_IL18,0.111197805584713
Bcells_CD44_Unstim,0.947416316777446
Bcells_CD44_LPS,0.32252871119086
Bcells_CD44_IL246,0.260514811086122
Bcells_CD44_IL18,0.158844886026367
Bcells_pNFkB_Unstim,0.667424786736729
Bcells_pNFkB_LPS,0.344502151013611
Bcells_pNFkB_IL246,0.444010246243814
Bcells_pNFkB_IL18,0.411419680826386
Bcells_pERK1-2_Unstim,0.326453872267903
