Name,Location,HBCU,HSI,Admission_Rate,SAT,Undergraduates,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Full_Time_Faculty,Pell_Grant,Retention_Rate,Federal_Loan,Default_Rate,Proportion_Men,Endowment
The University of Tennessee-Chattanooga,Urban,0,0,0.8311,1167,11010,23436,8718,8700,0.6872,0.3274,0.7671,0.4728,0.057,0.4249,181.27
The University of Tennessee-Knoxville,Urban,0,0,0.7815,1294,24949,32010,12209,11170,0.8746,0.2399,0.8864,0.373,0.031,0.4748,781.54
Tennessee Technological University,Small Town,0,0,0.7963,1202,9646,24458,8998,8334,1,0.3821,0.7748,0.4727,0.041,0.5445,71.29
Angelo State University,Urban,0,1,0.7816,1034,9962,19810,6687,7600,0.7764,0.4966,0.7093,0.4715,0.095,0.4191,185.45
Texas A & M University-Corpus Christi,Urban,0,1,0.9013,1088,10660,22459,8086,8399,0.7098,0.3744,0.574,0.4455,0.067,0.3901,19.29
Texas A&M University-Texarkana,Rural,0,0,0.9646,1035,2087,19447,11591,8038,0.546,0.4879,0.6425,0.5362,0.107,0.3721,7.53
Texas A & M University-Commerce,Small Town,0,0,0.6006,1052,9806,22575,7618,8029,1,0.5305,0.5764,0.6074,0.088,0.4055,25.88
University of Houston-Clear Lake,Suburban,0,1,0.8073,1090,8080,25567,7656,9212,0.9824,0.37,0.7698,0.2564,0.045,0.3676,29.52
University of Houston,Urban,0,1,0.6279,1216,42607,23361,8309,12444,0.8127,0.4365,0.8595,0.3636,0.044,0.4939,861.21
Lamar University,Urban,0,0,0.8268,1043,10416,20362,5808,8283,0.7838,0.507,0.6879,0.4542,0.043,0.4006,128.54
Texas A & M International University,Urban,0,1,0.5893,995,8159,13408,5837,8710,0.5856,0.7649,0.7425,0.2513,0.056,0.3861,53.79
Midwestern State University,Urban,0,0,0.7096,1009,6063,19972,10085,8038,0.7044,0.5204,0.6589,0.518,0.077,0.3703,25.47
University of North Texas,Urban,0,1,0.8398,1152,36663,23770,6169,10426,0.7415,0.3945,0.8524,0.4536,0.058,0.4677,194.24
The University of Texas Rio Grande Valley,Urban,0,1,0.8239,1034,35593,14250,6872,7967,0.8337,0.7004,0.8075,0.2105,0.007,0.4113,63.94
Prairie View A & M University,Small Town,1,0,0.7637,963,9100,25164,7706,8108,0.8644,0.6692,0.741,0.7528,0.106,0.3341,85.19
Sam Houston State University,Small Town,0,1,0.925,1051,20652,22885,6885,7918,0.8015,0.4468,0.789,0.5794,0.062,0.3707,119.87
Stephen F Austin State University,Small Town,0,0,0.7611,1073,12800,22178,7623,7867,0.7082,0.41,0.7695,0.5227,0.074,0.3597,88.81
Texas State University,Urban,0,1,0.8454,1104,37202,23453,7757,8480,0.7805,0.4094,0.7681,0.5476,0.052,0.4097,208.46
Sul Ross State University,Small Town,0,1,0.8083,960,2167,20332,7958,6622,0.6471,0.5387,0.5166,0.5609,0.116,0.3806,21.38
Tarleton State University,Small Town,0,0,0.5775,1044,12825,22730,6231,7589,0.6352,0.3739,0.6901,0.5843,0.072,0.3661,65.21
Texas A & M University-Kingsville,Small Town,0,1,0.8792,1012,6852,22645,8777,9669,0.8023,0.5676,0.7214,0.5728,0.063,0.5023,113.7
Texas A & M University-College Station,Urban,0,1,0.6327,1300,56517,29920,17485,12231,0.8721,0.231,0.9439,0.2935,0.022,0.5269,12632.09
The University of Texas at Arlington,Urban,0,1,0.8775,1160,43756,23902,5484,10316,0.6345,0.46,0.7561,0.3846,0.046,0.3796,162.58
The University of Texas at Austin,Urban,0,1,0.3195,1349,42419,27397,19349,13745,0.8418,0.2298,0.9665,0.3004,0.023,0.4429,4288.18
The University of Texas at Dallas,Urban,0,0,0.7936,1345,22409,27120,9771,12817,0.7715,0.2522,0.9014,0.2507,0.038,0.5643,558.47
The University of Texas at Tyler,Urban,0,0,0.9163,1135,8258,20730,9110,8469,0.7359,0.32,0.6448,0.2993,0.048,0.3987,87.87
The University of Texas Permian Basin,Urban,0,1,0.879,1015,7278,17323,10605,8346,0.5321,0.4773,0.6479,0.3958,0.062,0.4224,49.26
The University of Texas at San Antonio,Urban,0,1,0.8354,1116,31261,18923,5384,9721,0.7636,0.4644,0.7754,0.4891,0.05,0.4873,171.8
Texas Southern University,Urban,1,0,0.6637,975,7884,23173,12049,7907,0.6894,0.8124,0.5066,0.7686,0.081,0.3616,58.04
Texas Tech University,Urban,0,1,0.7003,1174,34272,23191,7442,9465,0.8625,0.2235,0.8748,0.4091,0.045,0.5177,743.23
Texas Woman's University,Urban,0,1,0.9368,1067,12463,19418,6595,8764,0.9805,0.5286,0.7737,0.5529,0.051,0.0956,79.58
