ID,Age,Gender,Religiosity,Race,Aware,Cheated,Total_Cheat
P273,7.8027397260274,Boy,2,Other,0,0,1
P274,9.96164383561644,Boy,19,White,0,1,4
P275,7.98630136986301,Boy,19,White,0,0,1
P276,8.361643835616439,Boy,2,Asian,0,0,2
P277,8.91780821917808,Boy,12,Asian,0,1,3
P278,4.82739726027397,Boy,7,Asian,0,1,4
P282,7.28493150684931,Girl,0,Asian,0,0,4
P283,4.8986301369863,Girl,0,Asian,0,1,5
P284,6.30958904109589,Boy,15,Asian,0,1,2
P285,9.41369863013699,Boy,15,Asian,0,1,3
P288,6.75890410958904,Girl,6,Asian,0,0,2
P292,9.78356164383562,Boy,6,Asian,0,1,5
P293,8.36438356164384,Girl,6,Asian,0,1,6
P296,9.67945205479452,Girl,0,Asian,0,0,0
P297,10.712328767123287,Boy,18,Asian,0,1,1
P298,6.92876712328767,Boy,12,Asian,0,0,2
P299,6.15068493150685,Girl,6,Asian,0,0,0
P300,6.60821917808219,Girl,5,Asian,0,0,0
P301,9.00821917808219,Boy,17,Asian,0,1,4
P302,9.51232876712329,Girl,7,White,0,1,2
P303,7.23013698630137,Boy,9,Asian,NA,0,1
P304,10.95068493150685,Girl,1,Other,0,1,1
P307,7.17808219178082,Girl,5,Asian,0,0,0
P308,7.93698630136986,Boy,8,Other,0,0,1
P309,4.8986301369863,Boy,5,Other,0,1,6
P310,5.63561643835616,Girl,20,Asian,0,1,6
P311,6.31506849315068,Girl,9,White,0,0,3
P314,5.52054794520548,Boy,11,Asian,0,0,2
P315,8.06027397260274,Boy,13,White,1,1,3
P316,5.99452054794521,Boy,12,White,0,1,4
P317,7.87945205479452,Boy,10,Other,0,1,4
P318,5.720547945205479,Boy,10,Other,0,1,6
P319,10.323287671232876,Girl,0,White,0,0,0
P320,6.43561643835616,Boy,0,White,0,0,4
P321,5.37808219178082,Girl,0,White,0,1,5
P322,5.2958904109589,Girl,8,White,0,0,0
P323,7.493150684931507,Boy,1,White,0,1,2
P324,5.72328767123288,Boy,12,Asian,0,1,4
P325,6.61643835616438,Girl,2,White,0,1,2
P326,6.45479452054794,Girl,7,White,0,0,2
P327,9.706849315068494,Girl,11,White,0,0,0
P328,6.67671232876712,Boy,20,White,0,0,0
P329,4.5013698630137,Girl,17,White,0,1,5
P330,5.67671232876712,Boy,0,White,NA,1,5
P332,9.48493150684932,Girl,4,White,0,1,6
P333,4.91780821917808,Girl,9,Asian,0,0,0
P334,5.06027397260274,Girl,12,Asian,0,1,2
P335,8.06301369863014,Girl,16,Asian,0,0,0
P336,4.82191780821918,Girl,13,Asian,0,1,2
P339,8.2986301369863,Girl,9,Asian,0,1,5
P341,8.257534246575343,Boy,11,Asian,1,0,4
P342,9.54520547945205,Boy,10,White,0,0,0
P343,7.22739726027397,Boy,3,White,0,0,1
P345,10.819178082191781,Girl,20,Asian,0,0,0
P346,6.94794520547945,Girl,22,Asian,0,0,0
P347,8.09041095890411,Boy,12,Asian,0,1,5
P349,10.07945205479452,Boy,2,White,0,0,1
P350,5.12602739726027,Boy,2,Asian,0,1,2
P351,4.72602739726027,Girl,21,White,0,1,5
P352,7.8986301369863,Girl,21,White,0,1,5
P357,6.13424657534247,Girl,0,Asian,0,1,6
P360,9.624657534246575,Girl,3,Other,0,1,2
P361,5.97260273972603,Boy,20,Other,0,1,4
P362,4.816438356164384,Boy,19,Other,0,1,6
P363,7.882191780821918,Boy,4,White,0,1,5
P365,10.936986301369863,Boy,11,Asian,0,0,0
P370,5.03013698630137,Boy,11,Asian,0,0,3
P371,7.14520547945205,Girl,1,Asian,0,1,3
P372,8.73424657534247,Boy,15,White,0,0,1
P373,5.13150684931507,Boy,16,White,0,1,6
P374,7.42739726027397,Boy,14,Asian,0,1,3
P375,5.25753424657534,Girl,14,Asian,0,0,1
P376,9.17808219178082,Girl,2,White,0,0,1
P377,5.493150684931507,Girl,0,White,0,0,2
P378,5.80821917808219,Girl,16,Other,0,1,4
P379,10.638356164383561,Girl,21,Other,0,0,0
P380,6.71506849315069,Girl,8,Asian,0,1,4
P381,5.65205479452055,Girl,8,Asian,0,1,5
P382,5.23561643835616,Boy,16,Asian,0,1,5
P384,6.40821917808219,Boy,17,Asian,0,1,3
P385,9.90958904109589,Girl,6,White,0,1,4
P387,9.03013698630137,Boy,16,Other,0,0,0
P388,7.646575342465753,Boy,4,Asian,0,1,6
P389,9.57260273972603,Boy,5,Asian,0,0,4
P392,9.742465753424657,Boy,19,Asian,NA,1,3
P393,4.12328767123288,Girl,9,Asian,0,0,4
P394,10.73972602739726,Boy,15,Asian,0,0,0
P395,8.882191780821918,Boy,16,Asian,0,0,5
P396,5.71232876712329,Boy,15,Asian,0,1,5
P397,8.64657534246575,Boy,20,Asian,0,0,0
P398,5.441095890410959,Girl,20,Asian,0,0,1
P399,7.87123287671233,Boy,0,White,0,1,2
P400,6.44657534246575,Boy,10,Asian,NA,1,5
P401,4.55616438356164,Girl,11,Asian,0,1,6
P402,7.19452054794521,Boy,16,Asian,0,1,6
P403,4.20821917808219,Boy,18,Asian,0,1,6
P404,3.99178082191781,Girl,20,Asian,0,1,5
P405,7.77534246575342,Girl,7,White,0,1,3
P406,10.506849315068493,Girl,7,White,0,0,1
P407,8.07123287671233,Girl,18,Other,0,0,1
P408,6.51232876712329,Girl,9,Asian,0,1,1
P410,10.076712328767123,Girl,20,Asian,0,0,1
P411,6.46849315068493,Girl,9,Asian,0,0,0
P412,4.00821917808219,Girl,0,Asian,0,1,4
P413,4.51232876712329,Girl,6,White,0,1,6
